t_s,phase,pos_rad,vel_rad_s,torque_nm,temp_c,kp,cmd_pos,cmd_vel
113.520,disabled,-0.000198,0.000094,-0.012711,40.000,0.000,-0.000049,0.000000
114.020,disabled,-0.000247,0.000030,-0.012711,40.000,0.000,-0.000049,0.000000
114.545,disabled,-0.000247,0.008918,-0.012711,40.000,0.000,-0.000049,0.000000
115.045,disabled,-0.000198,-0.019468,-0.012711,40.000,0.000,-0.000049,0.000000
115.570,disabled,-0.000148,0.156821,-0.012711,40.000,0.000,-0.000049,0.000000
116.070,disabled,-0.000198,0.071995,-0.012711,40.000,0.000,-0.000049,0.000000
116.571,disabled,-0.000247,-0.034716,-0.012711,40.000,0.000,-0.000049,0.000000
117.096,disabled,-0.000099,0.128370,-0.012711,40.000,0.000,-0.000049,0.000000
117.620,disabled,-0.000198,-0.066525,-0.012711,40.000,0.000,-0.000049,0.000000
118.120,disabled,-0.000148,-0.019522,-0.012711,40.000,0.000,-0.000049,0.000000
118.646,disabled,-0.000148,0.141358,-0.012711,40.000,0.000,-0.000049,0.000000
119.146,disabled,-0.000099,0.130259,-0.012711,40.000,0.000,-0.000049,0.000000
119.671,disabled,-0.000099,0.083082,-0.012711,40.000,0.000,-0.000049,0.000000
120.196,disabled,-0.000099,-0.040998,-0.012711,40.000,0.000,-0.000049,0.000000
120.720,disabled,-0.000148,-0.087980,-0.012711,40.000,0.000,-0.000049,0.000000
121.245,disabled,-0.000297,-0.057374,-0.012711,40.000,0.000,-0.000049,0.000000
121.770,disabled,-0.000148,-0.176612,-0.012711,40.000,0.000,-0.000049,0.000000
122.270,disabled,-0.000247,-0.034627,-0.012711,40.000,0.000,-0.000049,0.000000
122.770,disabled,-0.000198,0.011434,-0.012711,40.000,0.000,-0.000049,0.000000
123.271,disabled,-0.000049,0.054346,-0.012711,40.000,0.000,-0.000049,0.000000
123.795,disabled,-0.000198,0.050518,-0.012711,40.000,0.000,-0.000049,0.000000
124.296,disabled,-0.000099,0.019219,-0.012711,40.000,0.000,-0.000049,0.000000
124.796,disabled,-0.000148,0.038643,-0.012711,40.000,0.000,-0.000049,0.000000
125.320,disabled,-0.000148,-0.142907,-0.012711,40.000,0.000,-0.000049,0.000000
125.821,disabled,-0.000099,-0.091139,-0.012711,40.000,0.000,-0.000049,0.000000
126.345,disabled,0.000000,0.115192,-0.012711,40.000,0.000,-0.000049,0.000000
126.870,disabled,-0.000099,0.127919,-0.012711,40.000,0.000,-0.000049,0.000000
127.371,disabled,-0.000099,0.074918,-0.012711,40.000,0.000,-0.000049,0.000000
127.895,disabled,-0.000297,-0.017972,-0.012711,40.000,0.000,-0.000049,0.000000
128.420,disabled,-0.000148,0.173127,-0.012711,40.000,0.000,-0.000049,0.000000
128.946,disabled,-0.000247,0.089760,-0.012711,40.000,0.000,-0.000049,0.000000
129.470,disabled,-0.000148,-0.069062,-0.012711,40.000,0.000,-0.000049,0.000000
129.972,disabled,-0.000099,-0.015883,-0.012711,40.000,0.000,-0.000049,0.000000
130.474,disabled,-0.000099,-0.128039,-0.012711,40.000,0.000,-0.000049,0.000000
130.974,disabled,-0.000198,0.125659,-0.012711,40.000,0.000,-0.000049,0.000000
131.500,disabled,-0.000099,0.118172,-0.012711,40.000,0.000,-0.000049,0.000000
132.024,disabled,-0.000099,0.104503,-0.012711,40.000,0.000,-0.000049,0.000000
132.553,disabled,0.000000,-0.005905,-0.012711,40.000,0.000,-0.000049,0.000000
133.074,disabled,-0.000247,-0.051657,-0.012711,40.000,0.000,-0.000049,0.000000
133.601,disabled,-0.000049,-0.106232,-0.012711,40.000,0.000,-0.000049,0.000000
134.101,disabled,0.000000,0.164126,-0.012711,40.000,0.000,-0.000049,0.000000
134.624,disabled,-0.000247,0.069519,-0.012711,40.000,0.000,-0.000049,0.000000
135.125,disabled,-0.000148,-0.061391,-0.012711,40.000,0.000,-0.000049,0.000000
135.652,disabled,0.000000,-0.001666,-0.012711,40.000,0.000,-0.000049,0.000000
136.174,disabled,-0.000148,0.148040,-0.012711,40.000,0.000,-0.000049,0.000000
136.674,disabled,-0.000099,0.005564,-0.012711,40.000,0.000,-0.000049,0.000000
137.201,disabled,-0.000198,-0.044831,-0.012711,40.000,0.000,-0.000049,0.000000
137.702,disabled,-0.000198,0.003373,-0.012711,40.000,0.000,-0.000049,0.000000
138.224,disabled,-0.000198,0.152202,-0.012711,40.000,0.000,-0.000049,0.000000
138.725,disabled,-0.000198,-0.013216,-0.012711,40.000,0.000,-0.000049,0.000000
139.252,disabled,-0.000099,0.016177,-0.012711,40.000,0.000,-0.000049,0.000000
139.752,disabled,-0.000099,0.059938,-0.012711,40.000,0.000,-0.000049,0.000000
140.274,disabled,-0.000247,0.126320,-0.012711,40.000,0.000,-0.000049,0.000000
140.774,disabled,-0.000198,-0.067249,-0.012711,40.000,0.000,-0.000049,0.000000
141.274,disabled,-0.000049,-0.144843,-0.012711,40.000,0.000,-0.000049,0.000000
141.801,disabled,-0.000099,0.058686,-0.012711,40.000,0.000,-0.000049,0.000000
142.324,disabled,-0.000049,0.056764,-0.012711,40.000,0.000,-0.000049,0.000000
142.824,disabled,0.000000,0.080469,-0.012711,40.000,0.000,-0.000049,0.000000
143.349,disabled,-0.000148,-0.081882,-0.012711,40.000,0.000,-0.000049,0.000000
143.851,disabled,-0.000198,-0.022454,-0.012711,40.000,0.000,-0.000049,0.000000
144.353,disabled,-0.000198,0.039219,-0.012711,40.000,0.000,-0.000049,0.000000
144.875,disabled,-0.000049,0.253884,-0.012711,40.000,0.000,-0.000049,0.000000
145.401,disabled,-0.000148,-0.090952,-0.012711,40.000,0.000,-0.000049,0.000000
145.901,disabled,-0.000198,0.034141,-0.012711,40.000,0.000,-0.000049,0.000000
146.402,disabled,-0.000099,0.099230,-0.012711,40.000,0.000,-0.000049,0.000000
146.926,disabled,0.000000,-0.170326,-0.012711,40.000,0.000,-0.000049,0.000000
147.452,disabled,-0.000247,0.025043,-0.012711,40.000,0.000,-0.000049,0.000000
147.975,disabled,-0.000148,-0.145729,-0.012711,40.000,0.000,-0.000049,0.000000
148.501,disabled,-0.000247,-0.026576,-0.012711,40.000,0.000,-0.000049,0.000000
149.024,disabled,-0.000099,-0.058594,-0.012711,40.000,0.000,-0.000049,0.000000
149.524,disabled,-0.000099,-0.065894,-0.012711,40.000,0.000,-0.000049,0.000000
150.024,disabled,-0.000148,0.025895,-0.012711,40.000,0.000,-0.000049,0.000000
150.551,disabled,-0.000198,0.014992,-0.012711,40.000,0.000,-0.000049,0.000000
151.052,disabled,-0.000148,0.026600,-0.012711,40.000,0.000,-0.000049,0.000000
151.574,disabled,-0.000198,-0.071770,-0.012711,40.000,0.000,-0.000049,0.000000
152.103,disabled,-0.000198,0.066117,-0.012711,40.000,0.000,-0.000049,0.000000
152.624,disabled,-0.000099,0.013867,-0.012711,40.000,0.000,-0.000049,0.000000
153.124,disabled,-0.000198,-0.052812,-0.012711,40.000,0.000,-0.000049,0.000000
153.651,disabled,-0.000247,0.075748,-0.012711,40.000,0.000,-0.000049,0.000000
154.161,disabled,-0.000099,0.079919,-0.012711,40.000,0.000,-0.000049,0.000000
154.662,disabled,-0.000148,0.010133,-0.012711,40.000,0.000,-0.000049,0.000000
155.162,disabled,-0.000297,-0.102287,-0.012711,40.000,0.000,-0.000049,0.000000
155.687,disabled,-0.000099,-0.083963,-0.012711,40.000,0.000,-0.000049,0.000000
156.212,disabled,-0.000148,-0.105494,-0.012711,40.000,0.000,-0.000049,0.000000
156.712,disabled,-0.000049,0.106329,-0.012711,40.000,0.000,-0.000049,0.000000
